site	qk	fk
206	0.083	0.829
207	0.021	0.429
208	0.042	0.563
210	0.146	0.985
211	0.042	0.326
212	0.083	0.787
213	0.042	0.227
214	0.104	0.437
215	0.042	0.174
216	0.125	0.279
217	0.083	0.533
218	0.042	0.727
220	0.063	0.283
221	0.083	0.445
222	0.083	0.355
223	0.188	0.849
225	0.021	0.229
226	0.063	0.963
227	0.063	0.894
228	0.021	0.116
229	0.104	0.917
230	0.021	0.015
231	0.125	0.873
232	0.104	0.56
233	0.021	0.332
234	0.063	0.502
235	0.021	0.471
236	0.042	0.082
237	0.063	0.497
238	0.063	0.558
239	0.104	0.879
240	0.104	0.888
241	0.083	0.927
242	0.083	0.733
243	0.021	0.107
244	0.083	0.57
245	0.083	0.63
246	0.042	0.525
248	0.083	0.262
249	0.021	0.212
250	0.104	0.592
251	0.042	0.808
252	0.104	0.603
254	0.063	0.956
255	0.042	0.418
256	0.104	0.924
257	0.125	0.778
259	0.083	0.763
260	0.104	0.719
261	0.042	0.353
262	0.083	0.928
263	0.063	0.311
264	0.042	0.257
265	0.021	0.905
266	0.125	0.927
267	0.063	0.335
268	0.104	0.769
269	0.063	0.391
270	0.021	0.117
271	0.021	0.146
272	0.021	0.047
273	0.146	0.982
274	0.083	0.57
275	0.125	0.852
276	0.042	0.335
277	0.042	0.64
278	0.042	0.731
279	0.083	0.747
282	0.042	0.335
283	0.021	0.093
284	0.063	0.511
285	0.042	0.765
287	0.146	0.985
288	0.104	0.553
289	0.146	0.981
290	0.083	0.935
291	0.146	0.91
292	0.021	0.073
293	0.104	0.76
294	0.146	0.923
295	0.083	0.659
296	0.042	0.1
297	0.063	0.767
298	0.021	0.367
299	0.104	0.276
300	0.188	0.911
301	0.083	0.925
302	0.063	0.518
303	0.042	0.261
304	0.042	0.166
305	0.042	0.558
306	0.042	0.679
307	0.021	0.391
309	0.063	0.537
310	0.083	0.628
311	0.042	0.103
312	0.042	0.418
313	0.042	0.35
314	0.083	0.403
315	0.063	0.952
316	0.042	0.413
317	0.104	0.59
318	0.083	0.83
319	0.042	0.069
320	0.042	0.339
321	0.042	0.345
322	0.021	0.062
323	0.042	0.157
324	0.063	0.374
325	0.146	0.885
327	0.083	0.344
328	0.063	0.475
329	0.042	0.092
331	0.146	0.696
332	0.021	0.31
333	0.063	0.696
334	0.063	0.9
335	0.063	0.48
336	0.104	0.776
337	0.063	0.978
338	0.063	0.766
339	0.063	0.316
340	0.063	0.863
341	0.083	0.497
342	0.125	0.967
343	0.083	0.216
344	0.104	0.944
345	0.063	0.215
346	0.021	0.198
347	0.042	0.178
348	0.104	0.919
350	0.083	0.911
351	0.167	0.915
352	0.063	0.621
353	0.063	0.232
354	0.125	0.95
355	0.104	0.502
356	0.063	0.779
357	0.063	0.736
358	0.083	0.63
359	0.063	0.346
360	0.125	0.751
361	0.125	0.736
362	0.042	0.393
363	0.021	0.597
364	0.042	0.025
365	0.021	0.031
367	0.104	0.604
368	0.042	0.05
369	0.104	0.546
370	0.042	0.057
371	0.146	0.722
372	0.188	0.979
373	0.042	0.363
375	0.104	0.403
377	0.042	0.111
378	0.083	0.049
379	0.104	0.71
380	0.104	0.461
381	0.146	0.926
382	0.021	0.196
383	0.125	0.596
384	0.083	0.861
385	0.042	0.689
386	0.063	0.48
387	0.042	0.278
389	0.063	0.582
390	0.167	0.946
391	0.104	0.834
392	0.042	0.584
393	0.021	0.286
394	0.021	0.112
395	0.021	0.126
396	0.083	0.612
397	0.021	0.443
398	0.042	0.353
399	0.042	0.179
400	0.021	0.069
401	0.083	0.852
402	0.021	0.422
403	0.083	0.481
404	0.083	0.839
405	0.083	0.551
406	0.063	0.74
407	0.021	0.19
408	0.083	0.736
410	0.083	0.402
411	0.063	0.21
412	0.063	0.897
413	0.146	0.943
414	0.063	0.486
415	0.104	0.696
416	0.167	0.728
418	0.125	0.939
419	0.021	0.091
420	0.021	0.331
421	0.083	0.883
422	0.021	0.506
423	0.042	0.25
424	0.083	0.868
425	0.104	0.52
426	0.042	0.807
427	0.063	0.953
428	0.188	0.743
429	0.104	0.409
430	0.104	0.904
431	0.021	0.142
432	0.063	0.654
433	0.104	0.587
434	0.063	0.594
435	0.021	0.582
436	0.021	0.545
437	0.146	0.874
438	0.083	0.295
439	0.083	0.151
441	0.083	0.753
442	0.125	0.943
443	0.104	0.658
444	0.167	0.872
445	0.063	0.494
446	0.083	0.136
447	0.083	0.19
448	0.125	0.706
449	0.125	0.719
450	0.021	0.382
451	0.042	0.773
453	0.021	0.051
454	0.063	0.508
455	0.063	0.799
456	0.125	0.687
457	0.042	0.433
458	0.083	0.502
459	0.083	0.817
460	0.167	0.767
461	0.083	0.545
462	0.146	0.851
463	0.042	0.776
464	0.083	0.594
465	0.021	0.422
466	0.125	0.951
467	0.021	0.251
468	0.021	0.553
469	0.063	0.327
470	0.083	0.259
471	0.063	0.135
472	0.063	0.028
473	0.063	0.574
474	0.125	0.741
475	0.021	0.513
476	0.083	0.442
477	0.042	0.485
478	0.063	0.681
479	0.083	0.663
480	0.125	0.813
481	0.104	0.777
482	0.063	0.635
483	0.042	0.244
484	0.083	0.65
485	0.104	0.819
486	0.063	0.354
487	0.042	0.226
488	0.104	0.718
489	0.125	0.549
490	0.125	0.941
492	0.021	0.342
493	0.063	0.737
494	0.104	0.933
495	0.042	0.289
496	0.021	0.162
497	0.083	0.622
498	0.063	0.81
499	0.104	0.718
500	0.125	0.753
501	0.083	0.629
502	0.083	0.27
503	0.125	0.685
504	0.042	0.204
505	0.083	0.604
506	0.021	0.294
507	0.021	0.316
508	0.021	0.32
509	0.042	0.494
510	0.229	0.533
511	0.063	0.323
512	0.083	0.24
513	0.229	0.802
515	0.021	0.853
516	0.229	0.768
518	0.104	0.311
519	0.063	0.742
520	0.104	0.982
521	0.063	0.445
522	0.083	0.726
523	0.042	0.141
524	0.021	0.588
525	0.146	0.857
526	0.104	0.805
527	0.083	0.668
528	0.083	0.602
529	0.063	0.548
530	0.104	0.57
531	0.063	0.239
532	0.083	0.814
533	0.021	0.042
534	0.167	0.453
535	0.125	0.592
536	0.125	0.522
537	0.125	0.772
538	0.042	0.088
539	0.104	0.798
540	0.083	0.38
541	0.021	0.875
542	0.146	0.583
543	0.125	0.246
544	0.146	0.634
546	0.042	0.176
547	0.167	0.914
548	0.104	0.849
549	0.083	0.502
550	0.063	0.55
551	0.021	0.147
552	0.104	0.339
553	0.104	0.613
554	0.042	0.099
555	0.125	0.647
556	0.042	0.057
557	0.146	0.867
558	0.083	0.781
559	0.063	0.78
560	0.063	0.268
561	0.104	0.83
562	0.042	0.167
563	0.146	0.919
564	0.104	0.874
565	0.25	0.944
566	0.083	0.435
567	0.042	0.475
568	0.188	0.265
569	0.063	0.699
570	0.104	0.433
571	0.083	0.182
572	0.125	0.619
573	0.104	0.123
574	0.042	0.593
575	0.125	0.61
576	0.146	0.925
577	0.042	0.677
578	0.021	0.131
579	0.021	0.181
580	0.125	0.886
581	0.042	0.236
582	0.167	0.782
583	0.021	0.033
584	0.083	0.244
585	0.021	0.757
586	0.083	0.967
587	0.083	0.626
588	0.021	0.155
589	0.021	0.21
590	0.083	0.12
591	0.063	0.081
592	0.042	0.203
593	0.083	0.386
594	0.021	0.321
595	0.063	0.191
596	0.042	0.564
597	0.083	0.737
598	0.125	0.542
599	0.042	0.529
600	0.146	0.658
601	0.063	0.405
602	0.021	0.285
603	0.021	0.25
604	0.063	0.383
605	0.083	0.254
606	0.104	0.93
607	0.188	0.719
608	0.104	0.975
609	0.021	0.298
610	0.104	0.755
611	0.063	0.201
612	0.083	0.402
613	0.063	0.792
614	0.083	0.746
615	0.188	0.669
616	0.021	0.319
617	0.042	0.781
618	0.063	0.401
619	0.042	0.105
620	0.042	0.595
621	0.104	0.923
622	0.146	0.927
624	0.083	0.522
625	0.021	0.028
626	0.125	0.908
627	0.042	0.723
628	0.021	0.281
629	0.083	0.477
630	0.083	0.625
631	0.083	0.629
632	0.042	0.686
633	0.063	0.297
634	0.063	0.748
635	0.104	0.778
636	0.146	0.819
637	0.063	0.259
638	0.042	0.253
639	0.083	0.522
640	0.146	0.665
641	0.146	0.862
642	0.021	0.471
643	0.167	0.725
644	0.104	0.811
645	0.021	0.165
646	0.021	0.185
647	0.021	0.287
648	0.083	0.083
649	0.167	0.913
650	0.229	0.971
651	0.125	0.692
652	0.083	0.316
653	0.104	0.148
654	0.063	0.746
655	0.021	0.546
656	0.042	0.097
657	0.083	0.792
658	0.063	0.693
659	0.063	0.281
660	0.021	0.151
661	0.146	0.685
662	0.083	0.772
664	0.021	0.286
665	0.104	0.317
666	0.042	0.481
667	0.104	0.913
668	0.042	0.461
669	0.208	0.917
670	0.083	0.813
671	0.063	0.797
672	0.083	0.503
673	0.063	0.851
674	0.125	0.632
675	0.063	0.429
676	0.125	0.694
677	0.063	0.395
678	0.042	0.137
679	0.104	0.764
680	0.063	0.031
681	0.104	0.769
682	0.125	0.712
683	0.063	0.513
684	0.125	0.822
685	0.083	0.47
686	0.021	0.149
687	0.021	0.622
688	0.021	0.086
689	0.104	0.89
690	0.104	0.675
691	0.104	0.479
692	0.042	0.075
693	0.083	0.84
694	0.188	0.891
695	0.063	0.409
696	0.083	0.591
697	0.021	0.026
698	0.042	0.335
699	0.063	0.381
700	0.021	0.117
701	0.146	0.917
702	0.104	0.401
703	0.104	0.175
704	0.083	0.096
705	0.063	0.474
706	0.104	0.656
707	0.104	0.685
708	0.083	0.393
709	0.104	0.683
710	0.083	0.278
711	0.146	0.308
712	0.146	0.887
713	0.125	0.73
714	0.188	0.966
715	0.063	0.236
716	0.063	0.944
717	0.021	0.027
718	0.063	0.56
719	0.146	0.645
720	0.021	0.606
721	0.083	0.555
722	0.042	0.319
723	0.021	0.035
724	0.146	0.793
725	0.063	0.777
726	0.063	0.279
727	0.188	0.855
728	0.125	0.407
729	0.083	0.569
730	0.083	0.782
731	0.063	0.203
732	0.125	0.343
733	0.042	0.123
734	0.063	0.609
735	0.125	0.818
736	0.021	0.262
737	0.042	0.955
738	0.083	0.599
739	0.167	0.868
740	0.083	0.597
741	0.063	0.697
742	0.063	0.295
743	0.104	0.51
744	0.167	0.949
745	0.167	0.294
746	0.021	0.076
747	0.125	0.824
748	0.104	0.71
749	0.021	0.101
750	0.146	0.635
751	0.042	0.448
752	0.167	0.78
753	0.083	0.669
754	0.021	0.346
755	0.063	0.422
756	0.042	0.014
757	0.083	0.301
758	0.104	0.709
759	0.083	0.821
760	0.021	0.23
761	0.125	0.739
762	0.104	0.819
763	0.063	0.421
764	0.125	0.744
765	0.146	0.959
766	0.146	0.526
767	0.042	0.137
768	0.104	0.61
769	0.083	0.056
770	0.063	0.141
771	0.083	0.597
772	0.083	0.827
773	0.021	0.068
774	0.146	0.466
775	0.063	0.432
776	0.021	0.559
777	0.125	0.333
778	0.104	0.265
779	0.021	0.185
780	0.104	0.447
781	0.042	0.072
782	0.104	0.969
783	0.125	0.953
784	0.042	0.165
785	0.042	0.418
786	0.083	0.116
787	0.104	0.516
788	0.167	0.686
789	0.063	0.413
790	0.083	0.253
792	0.104	0.439
793	0.063	0.42
794	0.063	0.68
795	0.042	0.389
796	0.146	0.452
797	0.063	0.235
798	0.083	0.964
799	0.021	0.615
800	0.083	0.352
801	0.208	0.75
802	0.146	0.971
803	0.104	0.765
804	0.063	0.278
805	0.25	0.863
806	0.083	0.705
807	0.083	0.585
808	0.083	0.951
809	0.146	0.891
810	0.083	0.86
811	0.125	0.849
812	0.125	0.745
813	0.083	0.734
814	0.083	0.391
815	0.063	0.716
816	0.104	0.223
817	0.063	0.315
818	0.083	0.358
819	0.042	0.602
820	0.083	0.573
821	0.083	0.791
822	0.167	0.707
823	0.063	0.501
824	0.104	0.899
825	0.167	0.222
826	0.063	0.792
827	0.167	0.779
828	0.104	0.552
829	0.021	0.256
830	0.104	0.44
831	0.083	0.167
832	0.042	0.228
833	0.042	0.242
834	0.042	0.413
835	0.083	0.299
836	0.021	0.157
837	0.042	0.161
838	0.083	0.359
839	0.063	0.382
841	0.063	0.344
842	0.042	0.035
843	0.104	0.48
844	0.083	0.662
845	0.104	0.359
846	0.188	0.801
847	0.042	0.049
848	0.104	0.945
849	0.104	0.489
850	0.063	0.709
851	0.063	0.24
852	0.083	0.137
853	0.188	0.98
854	0.063	0.477
855	0.104	0.835
856	0.125	0.804
857	0.042	0.168
858	0.083	0.758
859	0.063	0.797
861	0.167	0.72
862	0.146	0.491
863	0.042	0.364
864	0.021	0.021
865	0.104	0.657
866	0.063	0.435
867	0.125	0.851
868	0.042	0.432
869	0.021	0.489
870	0.063	0.328
871	0.083	0.068
872	0.146	0.268
873	0.125	0.942
874	0.125	0.468
875	0.021	0.106
876	0.125	0.284
877	0.021	0.173
878	0.042	0.253
879	0.146	0.545
880	0.063	0.173
881	0.083	0.527
882	0.208	0.829
883	0.083	0.858
884	0.146	0.635
885	0.083	0.214
886	0.063	0.407
887	0.083	0.972
888	0.125	0.965
889	0.125	0.657
890	0.063	0.77
891	0.104	0.838
892	0.125	0.966
893	0.104	0.478
894	0.021	0.174
896	0.042	0.732
897	0.021	0.017
898	0.063	0.25
899	0.146	0.857
900	0.083	0.698
901	0.083	0.47
902	0.125	0.602
903	0.042	0.632
904	0.063	0.464
905	0.063	0.383
906	0.083	0.129
907	0.083	0.248
908	0.063	0.488
909	0.104	0.545
910	0.063	0.324
911	0.167	0.388
912	0.083	0.967
913	0.146	0.482
914	0.104	0.335
915	0.125	0.709
916	0.208	0.836
917	0.104	0.519
918	0.063	0.675
919	0.125	0.665
920	0.021	0.722
921	0.125	0.77
922	0.083	0.973
923	0.104	0.332
924	0.208	0.83
925	0.146	0.691
926	0.229	0.762
927	0.125	0.822
928	0.083	0.062
929	0.146	0.576
930	0.042	0.586
931	0.063	0.134
932	0.021	0.112
933	0.104	0.41
934	0.083	0.451
935	0.021	0.144
936	0.083	0.563
937	0.042	0.031
938	0.042	0.221
939	0.021	0.26
940	0.021	0.171
941	0.125	0.758
942	0.063	0.188
943	0.104	0.361
944	0.042	0.166
945	0.042	0.394
946	0.188	0.531
947	0.125	0.461
948	0.083	0.512
949	0.125	0.633
950	0.042	0.218
951	0.146	0.648
952	0.063	0.074
953	0.063	0.16
954	0.063	0.224
955	0.125	0.214
956	0.063	0.842
957	0.042	0.936
958	0.188	0.837
959	0.125	0.654
960	0.042	0.473
961	0.063	0.234
962	0.083	0.512
963	0.104	0.486
964	0.083	0.52
965	0.063	0.357
966	0.042	0.211
967	0.063	0.167
968	0.042	0.483
969	0.042	0.539
970	0.188	0.955
971	0.083	0.29
972	0.042	0.421
973	0.104	0.636
974	0.021	0.356
975	0.063	0.375
976	0.042	0.041
977	0.083	0.4
978	0.125	0.886
979	0.146	0.944
980	0.063	0.197
981	0.104	0.714
982	0.083	0.327
983	0.083	0.55
984	0.146	0.83
985	0.063	0.105
986	0.042	0.653
988	0.104	0.336
989	0.042	0.07
990	0.021	0.217
991	0.063	0.743
992	0.021	0.383
993	0.042	0.172
994	0.125	0.709
995	0.104	0.314
996	0.104	0.526
997	0.021	0.317
999	0.063	0.593
1000	0.021	0.353
1001	0.083	0.576
1002	0.125	0.553
1004	0.188	0.472
1005	0.104	0.396
1006	0.083	0.815
1007	0.083	0.886
1008	0.063	0.244
1009	0.021	0.427
1010	0.042	0.321
1011	0.104	0.318
1012	0.188	0.903
1013	0.083	0.799
1014	0.042	0.317
1015	0.083	0.334
1016	0.063	0.065
1017	0.042	0.286
1018	0.167	0.698
1019	0.042	0.117
1020	0.083	0.686
1021	0.083	0.876
1022	0.083	0.562
1023	0.104	0.915
1024	0.125	0.014
1025	0.063	0.129
1026	0.104	0.738
1027	0.063	0.299
1028	0.042	0.276
1029	0.063	0.667
1030	0.125	0.77
1031	0.063	0.104
1032	0.083	0.242
1033	0.063	0.44
1034	0.042	0.549
1035	0.063	0.085
1036	0.042	0.6
1037	0.042	0.082
1038	0.042	0.171
1039	0.125	0.572
1040	0.083	0.503
1041	0.125	0.896
1042	0.042	0.316
1043	0.083	0.382
1044	0.042	0.434
1045	0.188	0.981
1046	0.083	0.205
1047	0.146	0.418
1048	0.083	0.463
1049	0.063	0.189
1050	0.042	0.025
1051	0.021	0.151
1052	0.125	0.209
1053	0.188	0.917
1054	0.083	0.587
1055	0.042	0.67
1056	0.021	0.133
1057	0.104	0.726
1059	0.063	0.772
1060	0.167	0.835
1062	0.083	0.754
1063	0.063	0.324
1064	0.146	0.394
1065	0.104	0.904
1066	0.063	0.045
1067	0.042	0.22
1068	0.125	0.1
1069	0.188	0.935
1070	0.063	0.225
1071	0.146	0.676
1072	0.104	0.803
1073	0.042	0.077
1074	0.083	0.503
1075	0.083	0.204
1076	0.125	0.456
1077	0.104	0.723
1078	0.063	0.203
1079	0.146	0.714
1080	0.125	0.599
1081	0.146	0.864
1082	0.021	0.066
1083	0.063	0.061
1084	0.083	0.981
1085	0.104	0.49
1087	0.063	0.52
1088	0.063	0.033
1089	0.167	0.654
1090	0.146	0.186
1091	0.146	0.449
1092	0.104	0.584
1093	0.083	0.509
1094	0.063	0.039
1095	0.146	0.76
1096	0.125	0.614
1097	0.104	0.441
1098	0.146	0.263
1099	0.083	0.312
1100	0.125	0.828
1101	0.063	0.672
1102	0.125	0.306
1103	0.042	0.389
1104	0.146	0.466
1105	0.104	0.956
1106	0.104	0.202
1107	0.063	0.371
1108	0.021	0.058
1109	0.125	0.875
1110	0.167	0.569
1111	0.146	0.759
1112	0.125	0.51
1113	0.021	0.088
1114	0.042	0.281
1115	0.125	0.663
1116	0.083	0.338
1117	0.125	0.356
1118	0.063	0.742
1119	0.042	0.033
1120	0.083	0.11
1121	0.083	0.811
1122	0.167	0.873
1123	0.229	0.745
1124	0.167	0.952
1125	0.063	0.81
1126	0.125	0.522
1127	0.125	0.46
1128	0.125	0.813
1129	0.083	0.14
1130	0.042	0.157
1131	0.021	0.177
1132	0.042	0.84
1133	0.083	0.516
1134	0.083	0.203
1135	0.083	0.967
1136	0.188	0.795
1137	0.146	0.706
1138	0.146	0.812
1139	0.083	0.108
1140	0.021	0.034
1141	0.104	0.226
1142	0.042	0.481
1143	0.104	0.707
1144	0.125	0.485
1145	0.083	0.301
1146	0.125	0.173
1147	0.042	0.494
1148	0.188	0.757
1149	0.042	0.056
1150	0.042	0.228
1151	0.063	0.384
1152	0.083	0.145
1153	0.104	0.657
1154	0.104	0.091
1155	0.083	0.155
1156	0.125	0.798
1157	0.125	0.25
1158	0.021	0.067
1159	0.125	0.823
1160	0.063	0.801
1161	0.125	0.381
1162	0.021	0.091
1163	0.146	0.756
1164	0.083	0.794
1165	0.042	0.452
1166	0.104	0.495
1167	0.188	0.437
1168	0.104	0.976
1169	0.104	0.512
1170	0.083	0.677
1171	0.042	0.041
1172	0.104	0.546
1173	0.083	0.432
1174	0.083	0.493
1175	0.188	0.916
1176	0.167	0.918
1177	0.146	0.623
1178	0.125	0.947
1179	0.146	0.496
1180	0.063	0.408
1181	0.125	0.371
1182	0.083	0.088
1183	0.146	0.678
1184	0.042	0.051
1185	0.083	0.119
1186	0.083	0.238
1187	0.104	0.048
1188	0.167	0.871
1189	0.229	0.943
1190	0.208	0.755
1191	0.083	0.576
1192	0.104	0.596
1193	0.188	0.714
1194	0.083	0.671
1195	0.083	0.219
1196	0.146	0.141
1197	0.146	0.838
1198	0.042	0.642
1199	0.125	0.041
1200	0.063	0.388
1201	0.125	0.732
1202	0.083	0.455
1203	0.104	0.296
1204	0.208	0.946
1205	0.104	0.184
1206	0.063	0.38
1207	0.125	0.555
1209	0.063	0.275
1210	0.146	0.162
1211	0.042	0.27
1212	0.104	0.379
1213	0.125	0.024
1214	0.167	0.902
1215	0.083	0.478
1216	0.125	0.358
1217	0.104	0.726
1218	0.167	0.677
1219	0.104	0.901
1220	0.104	0.115
1221	0.042	0.925
1222	0.104	0.262
1223	0.063	0.194
1224	0.042	0.13
1225	0.063	0.164
1226	0.146	0.727
1227	0.146	0.229
1228	0.146	0.927
1229	0.188	0.304
1230	0.146	0.848
1231	0.104	0.851
1232	0.167	0.672
1233	0.083	0.167
1234	0.021	0.34
1235	0.063	0.453
1236	0.042	0.011
1237	0.146	0.925
1238	0.125	0.6
1239	0.125	0.224
1240	0.104	0.388
1241	0.167	0.621
1242	0.063	0.088
1243	0.125	0.893
1244	0.104	0.504
1245	0.125	0.818
1246	0.021	0.097
1247	0.083	0.286
1248	0.042	0.306
1249	0.063	0.799
1250	0.167	0.872
1251	0.021	0.22
1252	0.271	0.775
1253	0.146	0.97
1254	0.083	0.283
1255	0.083	0.718
1256	0.063	0.328
1257	0.083	0.78
1258	0.125	0.367
1259	0.146	0.499
1260	0.167	0.788
1261	0.104	0.215
1262	0.208	0.482
1263	0.063	0.188
1264	0.104	0.064
1265	0.104	0.065
1266	0.25	0.97
1267	0.021	0.044
1268	0.104	0.689
1269	0.083	0.377
1270	0.125	0.304
1271	0.042	0.219
1272	0.042	0.294
1273	0.104	0.971
1274	0.188	0.526
1275	0.146	0.826
1276	0.229	0.858
1277	0.083	0.803
1278	0.083	0.304
1279	0.167	0.936
1280	0.125	0.927
1281	0.104	0.565
1282	0.188	0.606
1283	0.125	0.68
1284	0.25	0.81
1285	0.104	0.394
1286	0.104	0.955
1287	0.042	0.034
1288	0.229	0.177
1289	0.063	0.283
1290	0.104	0.361
1291	0.063	0.047
1292	0.021	0.134
1293	0.021	0.109
1294	0.063	0.211
1295	0.042	0.2
1296	0.021	0.015
1297	0.146	0.648
1298	0.083	0.346
1299	0.042	0.531
1300	0.063	0.245
1301	0.042	0.041
1302	0.146	0.709
1303	0.083	0.188
1304	0.083	0.022
1305	0.083	0.556
1306	0.042	0.809
1307	0.042	0.885
1308	0.104	0.545
1309	0.042	0.743
1310	0.083	0.255
1311	0.021	0.154
1312	0.083	0.537
1313	0.063	0.256
1314	0.083	0.096
1315	0.167	0.885
1316	0.042	0.562
1317	0.146	0.453
1318	0.125	0.583
1319	0.021	0.103
1320	0.104	0.673
1321	0.042	0.302
1322	0.063	0.121
1323	0.021	0.091
1324	0.188	0.896
1326	0.104	0.092
1327	0.146	0.644
1328	0.042	0.254
1329	0.125	0.634
1330	0.125	0.227
1331	0.104	0.188
1332	0.146	0.895
1333	0.167	0.712
1334	0.042	0.098
1335	0.167	0.761
1336	0.042	0.025
1337	0.167	0.948
1338	0.063	0.026
1339	0.083	0.08
1340	0.125	0.329
1341	0.042	0.192
1342	0.083	0.086
1343	0.188	0.914
1344	0.042	0.045
1345	0.208	0.497
1346	0.042	0.032
1347	0.188	0.771
1348	0.042	0.139
1349	0.104	0.777
1350	0.042	0.069
1351	0.104	0.366
1352	0.188	0.785
1354	0.104	0.392
1355	0.063	0.113
1356	0.042	0.403
1357	0.146	0.774
1358	0.125	0.865
1359	0.146	0.511
1360	0.042	0.234
1361	0.25	0.886
1362	0.188	0.913
1363	0.083	0.049
1364	0.104	0.44
1365	0.125	0.845
1366	0.083	0.109
1367	0.146	0.63
1368	0.042	0.641
1369	0.125	0.268
1370	0.042	0.258
1371	0.188	0.79
1372	0.146	0.639
1373	0.083	0.108
1374	0.146	0.678
1375	0.063	0.051
1376	0.104	0.41
1377	0.167	0.63
1378	0.083	0.829
1379	0.021	0.309
1380	0.125	0.75
1381	0.021	0.125
1382	0.083	0.697
1383	0.125	0.821
1384	0.188	0.461
1385	0.146	0.884
1386	0.083	0.276
1387	0.083	0.2
1388	0.104	0.692
1389	0.167	0.634
1390	0.125	0.487
1391	0.083	0.465
1392	0.125	0.684
1393	0.146	0.437
1394	0.104	0.427
1395	0.063	0.616
1396	0.146	0.662
1397	0.042	0.339
1398	0.042	0.267
1399	0.125	0.525
1400	0.188	0.91
1401	0.104	0.18
1402	0.125	0.833
1403	0.167	0.54
1404	0.146	0.879
1405	0.104	0.081
1406	0.083	0.926
1407	0.042	0.854
1408	0.188	0.801
1409	0.104	0.081
1410	0.167	0.647
1411	0.083	0.106
1412	0.083	0.064
1413	0.083	0.479
1414	0.208	0.801
1415	0.083	0.7
1416	0.063	0.576
1417	0.042	0.123
1418	0.104	0.301
1419	0.083	0.492
1420	0.083	0.366
1421	0.125	0.599
1422	0.063	0.386
1423	0.104	0.286
1424	0.125	0.695
1425	0.083	0.363
1426	0.146	0.897
1427	0.104	0.859
1428	0.146	0.22
1429	0.125	0.404
1430	0.083	0.694
1431	0.167	0.734
